Date,Open,High,Low,Close,Adj Close,Volume
9/19/11,24.549999,25.110001,23,23,23,6100
9/26/11,23.32,23.48,22.129999,22.129999,22.129999,5700
10/3/11,22.01,22.09,21.59,21.73,21.73,5800
10/10/11,22.18,24.4,21.92,23.280001,23.280001,8800
10/17/11,22.799999,23.24,22.120001,22.58,22.58,17900
10/24/11,22.85,23.08,22.48,22.610001,22.610001,9000
10/31/11,22.33,22.77,21.959999,22.52,22.52,4900
11/7/11,22.5,22.5,21.59,21.59,21.59,6300
11/14/11,21.799999,22.23,21.6,21.6,21.6,2600
11/21/11,21.120001,21.25,20.5,20.530001,20.530001,2400
11/28/11,20.610001,21.139999,20.610001,20.969999,20.969999,3300
12/5/11,20.969999,21,20.42,20.42,20.42,3600
12/12/11,20.42,20.780001,20.42,20.780001,20.780001,2400
12/19/11,20.9,22.440001,20.82,21.32,21.32,7600
12/26/11,21.41,22.059999,21.41,22.059999,22.059999,11500
1/2/12,22,22.379999,21.49,21.5,21.5,7500
1/9/12,21.93,22.139999,20.85,21.16,21.16,7000
1/16/12,21.209999,21.379999,21.110001,21.34,21.34,5000
1/23/12,21.34,21.99,21.34,21.75,21.75,6500
1/30/12,21.65,22.040001,21.1,22.040001,22.040001,11300
2/6/12,22.049999,22.200001,21.389999,22.08,22.08,28300
2/13/12,21.959999,22.639999,21.959999,22.459999,22.459999,15900
2/20/12,22.42,22.879999,22.32,22.59,22.59,7200
2/27/12,22.549999,23.360001,21.299999,23.299999,23.299999,34700
3/5/12,23.35,23.59,22.83,23.59,23.59,12700
3/12/12,23.530001,24.790001,23.030001,23.940001,23.940001,11200
3/19/12,23.950001,23.950001,23.33,23.9,23.9,11900
3/26/12,23.68,24.280001,23.34,24.1,24.1,19000
4/2/12,24.450001,24.6,24.25,24.42,24.42,8700
4/9/12,24.4,24.77,23.799999,24.370001,24.370001,30500
4/16/12,24.200001,24.4,23.73,23.959999,23.959999,24900
4/23/12,23.9,24.58,23.9,24.530001,24.530001,19000
4/30/12,24.309999,24.799999,23.91,23.91,23.91,30100
5/7/12,23.65,24.200001,22.969999,23.15,23.15,21000
5/14/12,22.33,23.16,22.25,22.459999,22.459999,32700
5/21/12,22.84,23.1,22.01,22.15,22.15,7300
5/28/12,22.52,22.969999,22.129999,22.27,22.27,24000
6/4/12,22.32,23.66,22.190001,23.24,23.24,11600
6/11/12,23.440001,23.5,18.27,22.959999,22.959999,78000
6/18/12,23.1,24.4,23.1,23.33,23.33,270200
6/25/12,24.4,24.690001,22.799999,24.379999,24.379999,118700
7/2/12,24.780001,26,24.16,25.379999,25.379999,159900
7/9/12,26.219999,26.860001,25,26.200001,26.200001,239100
7/16/12,26.73,27.58,26.4,27.49,27.49,598900
7/23/12,26.799999,26.99,25.129999,26.26,26.26,472400
7/30/12,26.83,27.030001,26.200001,26.639999,26.639999,275400
8/6/12,26.059999,27.09,25.75,27.01,27.01,294400
8/13/12,26.969999,26.969999,26.08,26.73,26.73,153600
8/20/12,26.889999,28.120001,26.870001,27.959999,27.959999,216000
8/27/12,28.129999,28.620001,27.65,28.42,28.42,167300
9/3/12,28.68,28.879999,28.17,28.27,28.27,137200
9/10/12,28.200001,28.860001,27.67,28.5,28.5,125400
9/17/12,28.049999,28.049999,26.690001,26.92,26.92,182000
9/24/12,26.59,27.02,25.93,26.58,26.58,120700
10/1/12,26.370001,26.459999,25.450001,25.91,25.91,145700
10/8/12,25.65,26.190001,25.51,25.700001,25.700001,44400
10/15/12,25.280001,26.1,25.120001,25.77,25.77,76100
10/22/12,25.950001,26.16,25.58,26.059999,26.059999,54200
10/29/12,26.1,26.25,25.620001,25.620001,25.620001,32500
11/5/12,25.59,25.610001,24.68,24.68,24.68,57600
11/12/12,24.290001,24.290001,23.440001,23.59,23.59,161700
11/19/12,23.799999,24.15,23.610001,24.059999,24.059999,17900
11/26/12,24.26,24.68,24.129999,24.51,24.51,61700
